id,Title,Sports,school
34930,"Jody Allen","Men>Men's Baseball",34929
34932,"Vince Maiocco","Men>Men's Baseball",34931
34934,"Jason Smith","Men>Men's Baseball|Women>Women's Basketball",37657
34936,"Brian Nowakowski","Men>Men's Baseball",34935
34938,"Doug Buysse","Men>Men's Baseball",34937
34940,"Todd Reid","Men>Men's Baseball",34939
34942,"Jason Becker","Men>Men's Baseball",34941
34944,"Steve Marchi","Men>Men's Baseball",34943
34946,"Rocco Mossuto","Men>Men's Baseball",34945
34948,"Brian Michalak","Men>Men's Baseball",34947
34950,"Justin Huisman","Men>Men's Baseball",34949
34952,"Jack Jordan","Men>Men's Baseball",34951
34954,"Bob Kittle","Men>Men's Baseball",34953
34956,"Tony Lucca","Men>Men's Baseball",34955
34958,"Steve Friend","Men>Men's Baseball",34957
34960,"Erick Raich","Men>Men's Baseball",34959
34962,"Neal Andrade","Men>Men's Baseball",34961
34964,"Travis Babin","Men>Men's Baseball",34963
34966,"Bobby Hill","Men>Men's Baseball",34965
34968,"Daniel Phillips","Men>Men's Baseball",34967
34970,"Mike Curran","Men>Men's Baseball|Men>Men's Golf|Women>Women's Golf",36043
34972,"Mario Mendoza","Men>Men's Baseball",34971
34974,"Doug Williams","Men>Men's Baseball|Men>Men's Soccer",35781
34976,"Dino Nomicos","Men>Men's Baseball",34975
34978,"Rick Wiens","Men>Men's Baseball",34977
34980,"Chad Holbrook","Men>Men's Baseball",34979
34982,"Jim Sherman","Men>Men's Baseball",34981
34984,"Mike Kennedy","Men>Men's Baseball",34983
34986,"John Russo","Men>Men's Baseball",34985
34988,"Marlin Ikenberry","Men>Men's Baseball",34987
34990,"Mark Scalf","Men>Men's Baseball",34989
34992,"Mike Glavine","Men>Men's Baseball",34991
34994,"Matt Tyner","Men>Men's Baseball",34993
34996,"Brian Murphy","Men>Men's Baseball",34995
34998,"Nick Weisheipl","Men>Men's Baseball",34997
35000,"Phil Shallenberger","Men>Men's Baseball",34999
35002,"Scott Kushner","Men>Men's Baseball",35001
35004,"Pete Daniels","Men>Men's Baseball",35003
35006,"Paul Murphy","Men>Men's Baseball",35005
35008,"Kevin Schneider","Men>Men's Baseball",35007
35010,"Jamie Shevchik","Men>Men's Baseball",35009
35012,"Jason Thiel","Men>Men's Baseball",35011
35014,"Dan DiBartolomeo","Men>Men's Baseball",35013
35016,"Paul Bortolotti","Men>Men's Baseball",35015
35018,"Kameron Konert","Men>Men's Baseball",35017
35020,"Bryan Haley","Men>Men's Baseball",35019
35022,"Rob Mansfield","Men>Men's Baseball",35021
35024,"Nicholas Puccio","Men>Men's Baseball",35023
35026,"Jason Tower","Men>Men's Baseball",35025
35028,"Eric Cirella","Men>Men's Baseball",35027
35030,"Steve Studley","Men>Men's Baseball",35029
35032,"Dan Gomez","Men>Men's Baseball",35031
35034,"Jim Chester","Men>Men's Baseball",36761
35036,"Chris Anderson","Men>Men's Baseball",35035
35038,"Jeff Kilgore","Men>Men's Baseball",35037
35040,"Mark Crocco","Men>Men's Baseball",35039
35042,"Blaine Brown","Men>Men's Baseball",35041
35044,"Chris Wiley","Men>Men's Baseball",35043
35046,"Carl Lancaster","Men>Men's Baseball",35045
35048,"Landon Powell","Men>Men's Baseball",35047
35051,"Brian Shoop","Men>Men's Baseball",35050
35053,"John McCormack","Men>Men's Baseball",35052
35055,"Mervyl Melendez","Men>Men's Baseball",35054
35057,"Lane Burroughs","Men>Men's Baseball",35056
35059,"Jeff Waggoner","Men>Men's Baseball",35058
35061,"Jim McGuire","Men>Men's Baseball|Men>Men's Football",35825
35063,"Loren Hibbs","Men>Men's Baseball",35062
35065,"Chris Finwood","Men>Men's Baseball",35064
35067,"Wayne Graham","Men>Men's Baseball",35066
35069,"Scott Berry","Men>Men's Baseball",36343
35071,"Jason Marshall","Men>Men's Baseball|Women>Women's Tennis",37220
35073,"John Pawlowski","Men>Men's Baseball",35072
35075,"Seth Zartman","Men>Men's Baseball",35074
35077,"Alex Childers","Men>Men's Baseball",35076
35079,"Cam Screenton","Men>Men's Baseball",35078
35081,"Mike Frame","Men>Men's Baseball",35080
35083,"Rich Benjamin","Men>Men's Baseball",35082
35085,"Todd Bacon","Men>Men's Baseball",35084
35087,"Keith Veale","Men>Men's Baseball",35086
35089,"Greg Roberts","Men>Men's Baseball",35088
