id,Title,Content
35833,"Salem State University",
35835,"Westfield State University",
35837,"Worcester State University",
35839,"Bunker Hill Community College",
35841,"Holyoke Community College",
35843,"Massachusetts Bay Cc",
35845,"Massasoit Community College",
35847,"Northern Essex Community College",
35849,"Quinsigamond Community College",
35851,"Anoka-ramsey Community College",
35853,"Central Lakes College",
35855,"Hibbing Community College",
35857,"Mesabi Range College",
35859,"Minnesota State Community & Technical College",
35861,"Minnesota West Comm. & Tech. Coll.",
35863,"Northland Community And Tech Coll",
35865,"Rainy River Community College",
35867,"Ridgewater College",
35869,"Riverland Community College",
35871,"Rochester Community & Technical Coll.",
35873,"St. Cloud Tech. & Comm. College",
35875,"Vermilion Community College",
35877,"Brookhaven College",
35879,"Cedar Valley College",
35881,"Eastfield College",
35883,"Mountain View College",
35885,"North Lake College",
35887,"Canisius College",
35889,"Fairfield University",
35891,"Iona College",
35893,"Manhattan College",
35895,"Marist College",
35897,"Monmouth University",
35899,"Niagara University",
35901,"Quinnipiac University",
35903,"Rider University",
35905,"Saint Peter's University",
35907,"Siena College",
35909,"Ancilla College",
35911,"Delta College",
35913,"Glen Oaks Community College",
35915,"Grand Rapids Community College",
35917,"Henry Ford College",
35919,"Kalamazoo Valley Community College",
35921,"Kellogg Community College",
35923,"Lake Michigan College",
35925,"Lansing Community College",
35927,"Macomb Community College",
35929,"Mott Community College",
35931,"Muskegon Community College",
35933,"Saint Clair County Community College",
35935,"Schoolcraft College",
35937,"Adrian College",
35939,"Albion College",
35941,"Alma College",
35943,"Calvin College",
35945,"Hope College",
35947,"Kalamazoo College",
35949,"Olivet College",
35951,"Trine University",
35953,"Central Missouri, University Of",
35955,"Central Oklahoma, U. Of",
35957,"Emporia State University",
35959,"Fort Hays State University",
35961,"Lindenwood University",
35963,"Missouri Southern State University",
35965,"Missouri Western State University",
35967,"Nebraska, U. Of (kearney)",
35969,"Northeastern State U.",
35971,"Northwest Missouri State",
35973,"Pittsburg State U.",
35975,"Southwest Baptist University",
35977,"Washburn University",
35979,"Ball State University",
35981,"Bowling Green State University",
35983,"Central Michigan University",
35985,"Eastern Michigan University",
35987,"Kent State University",
35989,"Miami University",
35991,"Northern Illinois University",
35993,"Ohio University",
35995,"Toledo, University Of",
35997,"Western Michigan University",
35999,"Bethune-cookman University",
36001,"Coppin State University",
36003,"Delaware State University",
36005,"Florida A&m University",
36007,"Maryland, U. Of (eastern Shore)",
36009,"Norfolk State University",
36011,"North Carolina A&t State U.",
36013,"North Carolina Central U.",
36015,"Savannah State University",
36017,"Dutchess Community College",
36019,"Rockland Community College",
36021,"Sullivan County Community College",
