ID,Title,address
37390,"Mississippi University For Women","1100 College St."
37392,"Oakwood University","7000 Adventist Blvd."
37394,"Robert Morris University Springfield","3101 Montvale Dr."
37396,"Stratford University","836 J. Clyde Morris Blvd."
37398,"Suny Canton","34 Cornell Dr"
37400,"Wright State U.-lake Campus","7600 Lake Campus Dr."
37402,"California State University, Bakersfield","9001 Stockdale Hwy."
37404,"Chicago State University","9501 South King Drive"
37406,"Grand Canyon University","3300 W. Camelback Road"
37408,"New Mexico State University","PO Box 30001"
37410,"Northern Colorado, U. Of","270D Butler-Hancock Athletic Center"
37412,"Sacramento State University","6000 J St"
37414,"Seattle University","Seattle University"
37416,"Texas, University Of (rio Grande Valley)","1201 W. University Dr."
37418,"Utah Valley University","800 W. University Pkwy"
37420,"Brigham Young University","331 Student Athlete Bldg."
37422,"Gonzaga University","502 E Boone Ave."
37424,"Loyola Marymount University","1 LMU Dr, Gersten-MS8505"
37426,"Pacific, University Of The","3601 Pacific Ave."
37428,"Pepperdine University","24255 Pacific Coast Hwy"
37430,"Portland, University Of","5000 N Willamette Blvd."
37432,"Saint Mary's College (ca)","1928 St. Mary's Road"
37434,"San Diego, University Of","5998 Alcala Park"
37436,"San Francisco, Univ. Of","War Memorial Gym @ The Sobrato Center"
37438,"Santa Clara University","500 El Camino Real"
37440,"Allan Hancock College","800 S College Dr"
37442,"Antelope Valley College","3041 W. Avenue K"
37444,"Bakersfield College","1801 Panorama Dr."
37446,"Citrus College","1000 W. Foothill Blvd"
37448,"College Of The Canyons","26455 Rockwell Canyon Rd."
37450,"Cuesta College","Building 1300"
37452,"Los Angeles Mission College","13356 Eldridge Ave."
37454,"Los Angeles Pierce College","6201 Winnetka Ave."
37456,"Los Angeles Valley College","5800 Fulton Ave"
37458,"Moorpark College","7075 Campus Rd."
37460,"Oxnard College","4000 South Rose Avenue"
37462,"Santa Barbara City College","721 Cliff Dr"
37464,"West Los Angeles College","9000 Overland Avenue"
37466,"Wisconsin, U. Of (la Crosse)","Mitchell Hall, Room 126"
37468,"Wisconsin, U. Of (oshkosh)","Kolf Sports Center"
37470,"Wisconsin, U. Of (platteville)","1 University Plaza"
37472,"Wisconsin, U. Of (stevens Point)","2050 Fourth Ave."
37474,"Wisconsin, U. Of (stout)","203 Sports & Fitness Center"
37476,"Wisconsin, U. Of (whitewater)","112 Wiliams Center"
37478,"Clarendon College","1122 College Dr."
37480,"El Paso Community College","9050 Viscount Blvd."
37482,"Frank Phillips College","1301 Roosevelt Street"
37484,"Howard College","1001 Birdwell Lane"
37486,"Midland College","3600 N Garfield St."
37488,"New Mexico Junior College","1 Thunderbird Circle"
37490,"New Mexico Military Institute","101 W College Blvd."
37492,"Odessa College","201 W University Blvd"
37494,"Western Texas College","6200 College Ave"
37496,"Erie Community College","21 Oak St."
37498,"Genesee Community College","One College Rd."
37500,"Mercyhurst North East","16 W. Division St."
37502,"Monroe Community College","1000 E Henrietta Rd"
37504,"Niagara County Community College","3111 Saunders Settlement Rd."
37506,"Aquinas College","1607 Robinson Rd SE"
37508,"Cornerstone University","1001 E Beltline Ave NE"
37510,"Indiana Tech","1600 East Washington Blvd."
37512,"Lawrence Technological University","21000 West Ten Mile Rd."
37514,"Lourdes University","6832 Convent Blvd."
37516,"Madonna University","36600 Schoolcraft Rd."
37518,"Marygrove College","8425 W. McNichols"
37520,"Michigan, University Of (dearborn)","4901 Evergreen Rd"
37522,"Northwestern Ohio, University Of","1441 N. Cable Rd"
37524,"Rochester College","800 W Avon Rd"
37526,"Siena Heights University","1247 E Siena Heights Dr."
37528,"Butler County Community College","107 College Drive"
37530,"Ccac Boyce Campus","595 Beatty Rd"
37532,"Ccac South Campus","1750 Clairton Rd"
37534,"Potomac State College Of Wvu","101 Fort Ave"
37536,"Westmoreland County Cc","145 Pavilion Lane"
37538,"Central Maine Community College","1250 Turner St."
37540,"Great Bay Community College","320 Corporate Dr."
37542,"Nhti, Concord's Comm. College","31 College Dr."
37544,"Southern Maine Community College","2 Fort Rd."
37557,"Suny Delhi","454 Delhi Drive"
37559,"Valley Forge, University Of","1401 Charlestown Rd."
37572,"Syracuse University","Manley Field House"
37579,"Chattahoochee Valley Community College","2602 College Dr"
37582,"Coastal Alabama Cc-monroeville","(formerly Alabama Southern CC)"
37585,"Gadsden State Community College","1001 George Wallace Dr."
37588,"Lurleen B. Wallace Community College","PO Box 1418"
37596,"Franciscan University","1235 University Blvd."
37599,"Medaille College","18 Agassiz Circle"
37612,"New Hampshire, University Of","Field House"
37615,"Vermont, University Of","97 Spear St."
37624,"Southern Methodist University","PO Box 750315"
37626,"Temple University","1700 N. Broad St."
37629,"Tulsa, The University Of","800 S. Tucker Drive"
37638,"Missouri Baptist University","One College Park Dr."
37641,"Saint Louis College Of Pharmacy","4588 Parkview Pl."
37651,"Sul Ross State University","400 N. Harriosn"
37655,"Allen University","1530 Harden St"
37657,"Bryan College","721 Bryan Drive"
37660,"Montreat College","310 Gaither Circle"
37672,"Eastern Arizona College","615 N. Stadium Ave."
37687,"Fisk University","1000 17 Ave. N"
37689,"Haskell Indian Nations U.","155 Indian Avenue"
37691,"Indiana University Northwest","3400 Broadway"
37693,"Johnson & Wales U. (co)","7150 Montview Blvd."
37701,"Washington Adventist University","(formerly Columbia Union College)"
37703,"Wilberforce University","1055 N Bickett Rd"
37705,"California, U. Of (santa Cruz)","1156 High St."
37716,"Alameda, College Of","555 Ralph Appezzato Memorial Pkwy"
37722,"Mendocino College","1000 Hensley Creek Rd."
37724,"Merritt College","12500 Campus Dr"
37730,"Iowa State University","1800 S. Fourth Street"
37750,"Depaul University","Sullivan Athletics Center"
37753,"Marquette University","P.O. Box 1881"
37755,"Providence College","1 Cunningham Square"
37761,"Eastern Washington Univ.","207 Physical Ed. Bldg."
37763,"Idaho State University","921 S 8th Ave"
37765,"Idaho, University Of","Kibbie Activity Center"
37767,"Montana State U.-bozeman","1 Bobcat Circle"
37769,"Montana, University Of","Hoyt Athletic Complex, Adams Center"
37771,"North Dakota, Univ. Of","Hyslop Sports Center Rm 120"
37773,"Northern Arizona University","Box 15400"
37776,"Portland State University","527 SW Hall"
37779,"Southern Utah University","351 W. University Blvd."
37781,"Weber State University","3870 Stadium Way Dept. 2701"
37805,"Wisconsin, U. Of (madison)","Kellner Hall"
37825,"Humboldt State University","1 Harpst St."
37831,"Antelope Valley, Univ. Of","44055 North Sierra Hwy"
37833,"California St. U. Maritime Acad","200 Maritime Dr"
37835,"California, U. Of (merced)","5200 North Lake Rd."
37837,"Embry-riddle Aeronautical U.","3700 Willow Creek Rd."
37839,"Pacific Union College","One Angwin Ave"
37853,"Eastern Oregon University","One University Blvd."
37855,"Evergreen State College","2700 Evergreen Parkway NW"
37858,"Multnomah University","8435 NE Glisan St"
37860,"Northwest Christian University","828 E. 11th Ave."
37862,"Northwest University","PO Box 579"
37865,"Southern Oregon University","1250 Siskiyou Blvd"
37867,"Walla Walla University","204 S. College Ave."
37869,"Warner Pacific College","2219 SE 68th Ave."
37895,"Georgian Court University","900 Lakewood Ave"
37898,"Holy Family University","9801 Frankford Avenue"
37905,"Wilmington University (de)","1365 Pulaski Hwy."
37907,"Bowie State University","14000 Jericho Park Rd."
37910,"Elizabeth City State U.","1704 Weeksville Rd."
37911,"Fayetteville State University","Felton J. Capel Arena"
37914,"Livingstone College","701 W Monroe Street"
37917,"Shaw University","118 E South St"
37920,"Virginia Union Univ.","1500 N Lombardy St."
37924,"Columbia College (ca)","11600 Columbia College Dr"
37933,"Cardinal Stritch University","6801 N Yates Rd"
37935,"Holy Cross College","54515 State Road 933 North"
37938,"Judson University","Lindner Fitness Center"
37951,"Foothill College","12345 El Monte Rd."
37958,"San Jose City College","2100 Moorpark Ave"
37964,"Drexel University","3141 Chestnut St"
37980,"Rosemont College","1400 Montgomery Ave."
37985,"New England, Univ. Of","11 Hills Beach Rd."
37996,"Lees-mcrae College","191 Main Street"
38008,"North Texas, University Of","1155 Union Circle #311397"
38014,"University Of Texas At El Paso (utep)","Brumbelow Building"
38026,"Taylor University","236 W. Reade Ave."
38030,"Brooklyn College","West Quad Center- Room 426"
38032,"Hostos Community College","450 Grand Concourse"
38034,"Hunter College","695 Park Ave."
38040,"Medgar Evers College","1150 Carroll St"
38047,"Daemen College","4380 Main Street"
38049,"District Of Columbia, U. Of","Sports Complex, Bldg. 47"
38056,"Roberts Wesleyan College","2301 Westside Dr."
38058,"Alfred University","McLane Center"
38061,"Hartwick College","Binder Gymnasium"
38064,"Nazareth College","4245 East Ave"
